id,title,parent_cat_id
1,Drugs & Pharmaceuticals,0
2,Hospital & Diagnostics,0
3,Food & Beverages,0
4,Industrial Plants & Machinery,0
5,Industrial Supplies,0
6,Building & Construction,0
7,Apparel & Garments,0
8,Electronics & Electrical,0
9,Packaging Machines & Goods,0
10,"Chemicals	 Dyes & Solvents",0
11,Mechanical Parts & Spares,0
12,Lab Instruments & Supplies,0
13,Furniture & Supplies,0
14,"Automobile	 Parts & Spares",0
15,Agriculture & Farming,0
16,Housewares & Supplies,0
17,"Metals	 Alloys & Minerals",0
18,Hand & Machine Tools,0
19,Handicrafts & Decoratives,0
20,Kitchen Utensils & Appliances,0
21,"Textiles	 Yarn & Fabrics",0
22,Books & Stationery,0
23,Cosmetics & Personal Care,0
24,Home Textile & Furnishing,0
25,Engineering Services,0
26,"Gems	 Jewelry & Astrology",0
27,Computer & IT Solutions,0
28,Fashion Accessories & Gear,0
29,Herbal & Ayurvedic Product,0
30,Security Systems & Services,0
31,"Sports Goods	 Toys & Games",0
32,Telecom Equipment & Goods,0
33,Paper & Paper Products,0
34,"Bags	 Belts & Wallets",0
35,"Media	 PR & Publishing",0
36,"Marble	 Granite & Stones",0
37,Event Planner & Organizer,0
38,IT & Telecom Services,0
39,Product Rental & Leasing,0
40,Transportation & Logistics,0
41,Business & Audit Services,0
42,Financial & Legal Services,0
43,Education & Training,0
44,"Travel	 Tourism & Hotels",0
45,Call Center & BPO Services,0
46,"Bicycle	 Rickshaw & Spares",0
47,R&D and Testing Labs,0
48,Architecture & Interiors,0
49,HR Planning & Recruitment,0
50,"Rail	 Shipping & Aviation",0
51,House Keeping Services,0
52,Leather Products,0
53,Contractors & Freelancers,0
54,Electronics Components,0
55,Electrical Equipment,0
56,"Hospital	Clinic & Consultation",0
392,Common Disease Medicines,1
393,Nutraceuticals & Dietary Supplements,1
394,Pharma Ingredients & Raw Materials,1
395,Anti Infective Drugs & Medicines,1
396,"TB	 Tumor & Cancer Drugs",1
397,Cardiovascular Drugs & Medication,1
398,Pain Relief Drugs & Pharmaceuticals,1
399,Digestive System Drugs & Medicines,1
400,Brain & Nervous System Drugs,1
401,Healthcare Products & Aids,1
402,Animal Medicines & Health Care,1
403,Generic Drugs & Pharmaceuticals,1
404,Immunization & Vaccination Drugs,1
405,Respiratory System Drugs,1
406,Homeopathic Medicines & Remedies,1
407,"Ayurvedic	Herbal Products & Medicine",1
408,Surgical & ICU Equipments,2
409,Forceps & Graspers,2
410,Surgical & Medical Consumables,2
411,Medical Laboratory Instruments,2
412,Physiotherapy & Rehab Aids,2
413,"Dentist Tools	 Equipment & Supplies",2
414,Orthopedic Equipment & Supplies,2
415,Diagnostic Medical Imaging Equipment,2
416,"Scalpels	 Needles & Scissors",2
417,Infusion Syringes & Supplies,2
418,Bandages & Dressing Disposables,2
419,Face Mask & Medical PPE Kits,2
420,Eye Diagnosis & Surgery Instruments,2
421,ENT Surgical Equipment & Supplies,2
422,Urological & Obstetrics Instruments,2
423,"Wheel Chairs	 Crutches and Walker",2
424,Medical & Surgical Clothing,2
425,Paediatric and Infant Care Products,2
426,Ayurvedic & Herbal Extracts,2
427,Pharmaceutical Machinery & Equipment,2
428,Flavours & Aromatics,3
429,Cereals & Food Grains,3
430,Cooking Spices and Masala,3
431,Bakery & Confectionery Products,3
432,Milk & Dairy Products,3
433,Snacks and Namkeen,3
434,"Fresh	 Dried & Preserved Vegetables",3
435,"Juices	 Soups & Soft Drinks",3
436,"Chocolates	 Biscuits & Cookies",3
437,Ready to Eat & Instant Food Mixes,3
438,"Fresh	 Dried & Preserved Fruits",3
439,Tea & Coffee,3
440,"Pickles	 Jams & Ketchups",3
441,Organic Food Grains & Vegetables,3
442,Indian Sweets & Desserts,3
443,Marine Food Supplies,3
444,Dry Fruits & Nuts,3
445,Edible Oil & Allied Products,3
446,Meat & Poultry Food,3
447,Ayurvedic & Herbal Health Supplement,3
448,Machines & Equipments,4
449,Printing Machinery & Equipment,4
450,Milling & Grinding Tools,4
451,Material Handling Machines & Systems,4
452,Conveyor Systems & Components,4
453,Used Machinery & Tools,4
454,Water Treatment & Purification Plant,4
455,Industrial Furnaces & Ovens,4
456,Welding Equipments & Machinery,4
457,"Air Compressors	 Accessories & Parts",4
458,Chemical Reactors and Process Tanks,4
459,Hydraulic & Pneumatic Machines,4
460,Apparel & Textile Machinery,4
461,Cutting Machines & Equipment,4
462,Drilling & Boring Equipment,4
463,Pollution Control Devices & Machines,4
464,CNC Machines & Lathe Machine,4
465,Oxygen & Nitrogen Gas Plants,4
466,Fast Food & Beverages Machinery,4
467,"Sewing	Knitting & Embroidery Machine",4
468,Surface Coating & Paint Equipment,4
469,"Cooling Tower	 Heat Exchanger	 Parts",4
470,Chemical Plants & Machinery,4
471,Food Grains & Nut Processing Machine,4
472,Plastic Work & Processing Machines,4
473,Bakery & Dairy Machinery,4
474,Boilers & Boiler Parts,4
475,"Casting	 Moulding & Forging Machines",4
476,Bending & Metalwork Machines,4
477,"Crusher	 Shredder & Presses",4
478,Wire Drawing & Cabling Machines,4
479,Food Processing Plants & Machinery,4
480,Paper Work & Making Machine,4
481,Vending Machines & Dispensers,4
482,Pharmaceutical Machinery & Equipment,4
483,Industrial Mixers & Homogenizers,4
484,Fruit & Vegetable Processing Machine,4
485,Binding and Pressing Machines,4
486,Meat & Seafood Processing Equipments,4
487,Oil Mill & Oil Extraction Machinery,4
488,Extraction Plants and Extruders,4
489,"Rubber	 Rubber Processing Machinery",4
490,Testing & Measuring Equipments,4
491,"Cranes	 Forklift & Lifting Machines",4
492,"Farming Tools	 Equipment & Machines",4
493,"Heater	 Thermostat & Heating Devices",4
494,"Industrial Coolers	 Blowers & Fans",4
495,"VFD	 PLC	 HMI & Control Equipments",4
496,Cleaning Machines & Equipments,4
497,Excavator and Earth Moving Machinery,4
498,Elevators & Escalators,4
499,"Freezers	 Refrigerators & Chillers",4
500,Strapping & Sealing Machines,4
501,"Bar	 Neodymium & Permanent Magnets",4
502,Packaging & Lamination Machinery,4
503,Dryers & Evaporators,4
504,"Hydraulic Jacks	 Lifts & Winches",4
505,Lubrication Systems and Equipment,4
506,"Pumps	 Pumping Machines & Spares",5
507,"Oils	 Grease & Lubricants",5
508,"Plastic	 PVC & PP Products",5
509,Industrial & Engineering Goods,5
510,Filters & Filtration Systems,5
511,Hoses & Hose Fittings,5
512,"Storage Tanks	 Drums & Containers",5
513,"Industrial Coolers	 Blowers & Fans",5
514,"Carts	 Dollies & Trolleys",5
515,Abrasives & Grains,5
516,Rubber & Rubber Products,5
517,"Drilling Bits	 Collets and Chucks",5
518,"Stained	 Etched & Laminated Glass",5
519,"Bar	 Neodymium & Permanent Magnets",5
520,Filter Assemblies and Spare Parts,5
521,"Separators	 Strainers & Purifiers",5
522,Dryers & Evaporators,5
523,Insulators & Insulation Materials,5
524,"Hydraulic Jacks	 Lifts & Winches",5
525,Industrial Belts & V Belts,5
526,"PVC	 LDPE	 HDPE & Plastic Sheets",5
527,Flanges & Flanged Fittings,5
528,Wire Mesh & Gratings,5
529,"Welding	 Rods	 Electrodes & Wires",5
530,Fiber Glass Products,5
531,Engineering and Shipping Ropes,5
532,Industrial & Machine Brushes,5
533,Industrial Racks & Storage System,5
534,Heavy & Light Duty Casters & Rollers,5
535,Rust & Corrosion Protection Products,5
536,Enclosures & Cabinets,5
537,Lubrication Systems and Equipment,5
538,Stamping Tools & Stamping Machine,5
539,Disinfection Equipment & Machines,5
540,3D Printer & Services,5
541,Brushes & Bristles,5
542,Plastic & Rubber Products,5
543,Industrial Valves & Valve Fittings,5
544,Batteries & Charge Storage Devices,5
545,Electric Circuit Components & Spares,5
546,"Drills	 Grinders	 Saws & Power Tools",5
547,Electric Motors and Components,5
548,Metal Pipe & Plumbing Fittings,5
549,Industrial Air Conditioner & Devices,5
550,"Gearbox	 Axle	 Sprocket & Gear Parts",5
551,Steel & Stainless Steel Products,5
552,"Nails	 Fasteners	 Rivets & Shackles",5
553,Industrial Uniforms & Safety Wear,5
554,Industrial Pipe & Tube Fittings,5
555,"Seals	 Oil Seals & Industrial Seals",5
556,"Adhesives	 Glue and Sealants",5
557,Ball Bearings and Bearing Assemblies,5
558,Chisels & Professional Hand Tools,5
559,Steel Pipes and Tubes,5
560,"Heater	 Thermostat & Heating Devices",5
561,Electric Fittings & Components,5
562,"Steel Bars	 Rods	 Plates & Sheets",5
563,Fire Fighting & Prevention Products,5
564,Measurement Gauges & Gauge Fittings,5
565,"PVC	 FRP	 HDPE & Other Plastic Pipes",5
566,"Brackets	 Holder & Hardware Fittings",5
567,Elevators & Escalators,5
568,"Freezers	 Refrigerators & Chillers",5
569,"Moulds	 Jigs and Casting Dies",5
570,Die Casting & Investment Castings,5
571,"PVC	 CPVC	 HDPE Water Pipe Fittings",5
572,"Lifting Hooks	 Chains & Clamps",5
573,Air Springs & Compression Springs,5
574,Rubber Gaskets and Gasket Material,5
575,Boilers & Boiler Parts,5
576,Piston & Crankshaft Assemblies,5
577,"Aluminum	 Brass	 Bronze Pipes",5
578,Adhesive & Pressure Sensitive Tapes,5
